epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3453.64,1.42627,2.73188,1.56238,0.6555,0.54901,0.5909,0.35373,1.51788,2.31321,1.58617,0.000475824,0.000475824,0.000475824
2,6921.2,1.33016,1.63805,1.45793,0.83217,0.75573,0.82185,0.46083,1.49364,1.34882,1.48762,0.00048084,0.00048084,0.00048084
