epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,639.124,0.73142,3.04523,1.15935,0.57143,0.52664,0.59625,0.49091,0.75481,2.8386,1.09396,0.000236381,0.000236381,0.000236381
2,1270.52,0.5788,1.76448,1.04005,0.81046,0.77399,0.84087,0.68356,0.73736,2.03789,1.06583,0.000239562,0.000239562,0.000239562
